Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
Salsify,Boston,Retail,110,NULL,2023-10-25,Unknown,"United States",453
"Sana Benefits",Austin,HR,73,0.5,2023-11-01,"Series B","United States",106
SAP,Walldorf,Other,8000,0.07,2024-01-23,Post-IPO,Germany,1300
Sarcos,Pittsburgh,Aerospace,150,NULL,2023-11-14,Post-IPO,"United States",316
Scaler,Bengaluru,Education,150,NULL,2024-04-10,"Series B",India,55
SchoolMint,"SF Bay Area",Education,29,0.14,2023-10-05,Acquired,"United States",8
SecureWorks,Atlanta,Security,300,0.15,2023-08-14,Post-IPO,"United States",83
Seedr,London,Finance,15,NULL,2024-01-23,Acquired,"United Kingdom",28
SeekOut,Seattle,Recruiting,NULL,0.3,2024-05-16,"Series C","United States",NULL
SeekOut,Seattle,Recruiting,16,0.07,2023-10-05,"Series C","United States",NULL
Sendoso,"SF Bay Area",Marketing,NULL,NULL,2023-10-03,"Series C","United States",152
Sendy,Nairobi,Logistics,NULL,1.0,2023-08-08,"Series B",Kenya,26
SenseTime,"Hong Kong",AI,NULL,NULL,2023-08-28,Post-IPO,"Hong Kong",2600
"Sensor Tower","SF Bay Area",Marketing,NULL,NULL,2023-09-08,"Private Equity","United States",46
ShareChat,Bengaluru,Consumer,200,0.15,2023-12-20,"Series H",India,1700
Shift,"SF Bay Area",Transportation,NULL,1.0,2023-10-06,Post-IPO,"United States",504
"SHINE Technologies",Milwaukee,Other,59,NULL,2023-08-10,"Series C","United States",672
Shipt,Birmingham,Retail,NULL,0.03,2023-10-24,Acquired,"United States",65
ShopBack,Singapore,Retail,195,0.24,2024-03-19,"Series F",Singapore,355
Showpad,Ghent,Marketing,50,0.1,2024-04-18,"Series D",Belgium,159
Shutterfly,Minneapolis,Manufacturing,246,NULL,2023-08-10,Post-IPO,"United States",50
"Sierra Space",Boulder,Aerospace,115,NULL,2023-11-16,"Series B","United States",1700
SiFive,"SF Bay Area",Hardware,130,0.2,2023-10-24,"Series F","United States",365
"Sight Diagnostics","Tel Aviv",Healthcare,40,0.3,2024-05-09,"Series D",Israel,124
Silo,"SF Bay Area",Food,NULL,0.3,2024-05-22,"Series C","United States",272
Silofit,Montreal,Fitness,NULL,1.0,2023-08-02,"Series A",Canada,19
Simpl,Bengaluru,Finance,100,0.15,2024-05-08,"Series B",India,72
Simplilearn,Bengaluru,Education,200,NULL,2023-12-07,Acquired,India,76
"Singular Genomics","San Diego",Healthcare,NULL,0.1,2023-11-15,Post-IPO,"United States",176
"Singular Genomics","San Diego",Healthcare,NULL,0.2,2024-03-19,Post-IPO,"United States",176
